epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.193,1.32011,2.02438,1.24332,0.84278,0.76712,0.82613,0.47877,1.34521,1.78554,1.38508,0.000663934,0.000663934,0.000663934
2,64.9627,1.3856,1.33866,1.28045,0.90021,0.75342,0.84537,0.49485,1.49197,1.34272,1.41274,0.00131178,0.00131178,0.00131178
3,99.8473,1.39247,1.09756,1.2786,0.8102,0.84247,0.86758,0.48642,1.37333,1.11977,1.34279,0.00194077,0.00194077,0.00194077
4,138.617,1.37381,0.98284,1.28477,0.93986,0.88356,0.91417,0.53168,1.37141,0.98824,1.37518,0.00191514,0.00191514,0.00191514
5,168.992,1.35219,0.91437,1.27183,0.92123,0.87671,0.91664,0.54489,1.34046,1.22851,1.3405,0.00188686,0.00188686,0.00188686
6,214.275,1.34474,0.87564,1.2866,0.9629,0.86301,0.94148,0.56521,1.29866,1.02161,1.31244,0.00185857,0.00185857,0.00185857
7,280.999,1.29983,0.83309,1.24582,0.91851,0.84919,0.89742,0.56447,1.2869,1.0932,1.31439,0.00183029,0.00183029,0.00183029
8,345.469,1.30486,0.8261,1.2493,0.94092,0.87263,0.94135,0.57909,1.34062,0.90656,1.32318,0.001802,0.001802,0.001802
9,406.263,1.26798,0.76214,1.22991,0.94009,0.85983,0.92724,0.56707,1.32862,0.85343,1.33549,0.00177371,0.00177371,0.00177371
10,462.432,1.26906,0.75481,1.22387,0.91982,0.94286,0.96074,0.59435,1.44884,1.04895,1.3932,0.00174543,0.00174543,0.00174543
11,493.715,1.2201,0.70685,1.19839,0.9568,0.91017,0.95225,0.58811,1.33183,0.68503,1.28598,0.00171714,0.00171714,0.00171714
12,524.798,1.21429,0.71567,1.18986,0.93572,0.89739,0.94306,0.58957,1.27672,0.75917,1.27087,0.00168886,0.00168886,0.00168886
13,554.767,1.21304,0.69512,1.19948,0.97426,0.90411,0.96292,0.61343,1.32041,0.66512,1.28234,0.00166057,0.00166057,0.00166057
14,585.402,1.19394,0.67807,1.18311,0.94466,0.9589,0.96085,0.61651,1.19454,0.64631,1.26734,0.00163229,0.00163229,0.00163229
15,615.296,1.21676,0.66671,1.2088,0.94804,0.87472,0.93599,0.58087,1.35483,0.71118,1.32508,0.001604,0.001604,0.001604
16,645.107,1.1734,0.644,1.17304,0.96348,0.90361,0.95846,0.59756,1.23211,0.67548,1.25984,0.00157571,0.00157571,0.00157571
17,674.993,1.18048,0.65413,1.16497,0.94869,0.88652,0.94394,0.61178,1.26184,0.64939,1.26037,0.00154743,0.00154743,0.00154743
18,705.037,1.16104,0.63807,1.17969,0.98066,0.93151,0.96647,0.60722,1.22655,0.63446,1.25642,0.00151914,0.00151914,0.00151914
19,735.314,1.1519,0.63528,1.16501,0.9637,0.90924,0.95488,0.61566,1.24452,0.66865,1.26013,0.00149086,0.00149086,0.00149086
20,766.041,1.14828,0.6179,1.15593,0.97568,0.95205,0.96612,0.632,1.31099,0.64143,1.29941,0.00146257,0.00146257,0.00146257
21,796.37,1.1665,0.61186,1.16358,0.95641,0.93151,0.94967,0.59033,1.3329,0.60756,1.29531,0.00143429,0.00143429,0.00143429
22,827.068,1.10869,0.61329,1.14567,0.99191,0.94521,0.97105,0.62293,1.29476,0.64133,1.28668,0.001406,0.001406,0.001406
23,859.169,1.11268,0.59338,1.13505,0.96545,0.91096,0.95731,0.60774,1.30469,0.63277,1.28568,0.00137771,0.00137771,0.00137771
24,889.819,1.13426,0.60108,1.15121,0.95872,0.92466,0.96484,0.58763,1.35213,0.63146,1.31174,0.00134943,0.00134943,0.00134943
25,920.132,1.0918,0.58306,1.13784,0.94255,0.94521,0.96529,0.60424,1.28785,0.60038,1.28686,0.00132114,0.00132114,0.00132114
26,950.182,1.09602,0.57068,1.13418,0.96934,0.9589,0.97514,0.62897,1.24231,0.60557,1.26247,0.00129286,0.00129286,0.00129286
27,980.225,1.11142,0.57679,1.1225,0.97414,0.95205,0.96906,0.62001,1.26886,0.58348,1.25324,0.00126457,0.00126457,0.00126457
28,1010.46,1.08508,0.56979,1.12503,0.97126,0.92579,0.96455,0.60797,1.3097,0.62335,1.27648,0.00123629,0.00123629,0.00123629
29,1040.84,1.0853,0.55891,1.13818,0.97696,0.93836,0.9636,0.61706,1.27707,0.88569,1.28047,0.001208,0.001208,0.001208
30,1070.94,1.07775,0.54961,1.12534,0.96179,0.93836,0.96546,0.61932,1.24833,0.59417,1.26836,0.00117971,0.00117971,0.00117971
31,1101.16,1.07978,0.53994,1.12485,0.97112,0.94521,0.97162,0.62365,1.25066,0.57118,1.24994,0.00115143,0.00115143,0.00115143
32,1136.61,1.07115,0.54876,1.11763,0.97202,0.95179,0.96911,0.61003,1.26495,0.56544,1.27876,0.00112314,0.00112314,0.00112314
33,1242.76,1.041,0.53523,1.10325,0.97158,0.93666,0.95914,0.60846,1.29996,0.56181,1.29133,0.00109486,0.00109486,0.00109486
34,1273.34,1.04308,0.53243,1.11521,0.98571,0.94472,0.97728,0.59764,1.30649,0.55903,1.2822,0.00106657,0.00106657,0.00106657
35,1304.06,1.02463,0.53389,1.0951,0.96689,0.94521,0.96462,0.60334,1.27317,0.54983,1.28529,0.00103829,0.00103829,0.00103829
36,1334.47,1.03144,0.52009,1.11026,0.96494,0.9589,0.96139,0.61056,1.22186,0.56301,1.25156,0.00101,0.00101,0.00101
37,1364.7,1.02497,0.51984,1.10262,0.95181,0.9589,0.96148,0.61515,1.29899,0.58105,1.27685,0.000981714,0.000981714,0.000981714
38,1395.21,1.02319,0.51609,1.10448,0.9716,0.93718,0.96403,0.62816,1.28525,0.55937,1.28072,0.000953429,0.000953429,0.000953429
39,1425.7,1.03054,0.51661,1.10309,0.94592,0.9589,0.97457,0.61587,1.28207,0.55168,1.27892,0.000925143,0.000925143,0.000925143
40,1456.37,1.00042,0.50988,1.09324,0.97098,0.91678,0.9646,0.61956,1.3052,0.57702,1.29577,0.000896857,0.000896857,0.000896857
41,1487.07,0.99592,0.5075,1.09526,0.9648,0.93871,0.9716,0.63276,1.28386,0.58658,1.27149,0.000868571,0.000868571,0.000868571
42,1517.67,0.99106,0.50218,1.09956,0.94554,0.95132,0.97137,0.61415,1.3121,0.5374,1.28493,0.000840286,0.000840286,0.000840286
43,1548.07,0.98329,0.49463,1.08762,0.96314,0.94521,0.9622,0.60912,1.3325,0.54982,1.3049,0.000812,0.000812,0.000812
44,1578.61,0.9863,0.48932,1.08585,0.97871,0.94457,0.96653,0.60378,1.27444,0.53971,1.28997,0.000783714,0.000783714,0.000783714
45,1608.89,0.98437,0.49412,1.09264,0.96826,0.93151,0.965,0.59845,1.27985,0.53472,1.27946,0.000755429,0.000755429,0.000755429
46,1639.6,0.94968,0.48528,1.06914,0.96423,0.94521,0.96685,0.63303,1.2318,0.56075,1.25196,0.000727143,0.000727143,0.000727143
47,1669.77,0.94524,0.47358,1.05799,0.97158,0.93836,0.95766,0.61607,1.28234,0.56003,1.27712,0.000698857,0.000698857,0.000698857
48,1700.35,0.96779,0.47634,1.08079,0.96472,0.93644,0.95069,0.6025,1.34185,0.53633,1.31492,0.000670571,0.000670571,0.000670571
49,1731.01,0.97992,0.47896,1.07516,0.97015,0.93836,0.96233,0.61295,1.31057,0.55685,1.31472,0.000642286,0.000642286,0.000642286
50,1761.82,0.95088,0.47547,1.06881,0.9702,0.93836,0.96204,0.61354,1.31143,0.53027,1.30668,0.000614,0.000614,0.000614
51,1792.56,0.94817,0.46801,1.06936,0.96263,0.93836,0.96026,0.61728,1.30343,0.52942,1.28262,0.000585714,0.000585714,0.000585714
52,1823.31,0.93082,0.46072,1.06119,0.95516,0.94521,0.96481,0.61464,1.32249,0.54427,1.31813,0.000557429,0.000557429,0.000557429
53,1854.05,0.92695,0.45892,1.0593,0.96475,0.93735,0.96683,0.61525,1.31011,0.54607,1.28933,0.000529143,0.000529143,0.000529143
54,1884.7,0.91183,0.45336,1.05229,0.96416,0.94521,0.96686,0.60835,1.30051,0.54507,1.30211,0.000500857,0.000500857,0.000500857
55,1915.14,0.92938,0.46101,1.05561,0.97846,0.93325,0.97361,0.59514,1.34331,0.52083,1.31825,0.000472571,0.000472571,0.000472571
56,1945.59,0.90794,0.44004,1.05299,0.984,0.94521,0.97508,0.61687,1.31356,0.5177,1.30741,0.000444286,0.000444286,0.000444286
57,1976.13,0.90373,0.44656,1.05494,0.98239,0.93151,0.97657,0.61512,1.32333,0.52658,1.31,0.000416,0.000416,0.000416
58,2006.71,0.88761,0.43895,1.05142,0.95801,0.95205,0.97257,0.60588,1.3255,0.5166,1.31898,0.000387714,0.000387714,0.000387714
59,2037.49,0.90839,0.4402,1.05414,0.97728,0.94521,0.97825,0.61551,1.31483,0.49722,1.30766,0.000359429,0.000359429,0.000359429
60,2068.14,0.88273,0.43519,1.04371,0.98567,0.94234,0.97809,0.60423,1.31428,0.49591,1.28826,0.000331143,0.000331143,0.000331143
61,2112.01,0.84684,0.37243,1.01909,0.94308,0.94521,0.96476,0.60919,1.3003,0.51202,1.31406,0.000302857,0.000302857,0.000302857
62,2141.69,0.82295,0.3645,1.0148,0.94406,0.9589,0.97658,0.6213,1.31691,0.51576,1.31057,0.000274571,0.000274571,0.000274571
63,2334.27,0.80917,0.36006,1.00899,0.94591,0.95827,0.97831,0.631,1.33436,0.52038,1.31643,0.000246286,0.000246286,0.000246286
64,2364.21,0.80052,0.3587,1.00746,0.97848,0.93418,0.97646,0.61942,1.35508,0.52609,1.33515,0.000218,0.000218,0.000218
65,2394.3,0.79894,0.35388,1.00728,0.9782,0.93836,0.97865,0.62299,1.32741,0.50157,1.3208,0.000189714,0.000189714,0.000189714
66,2424.33,0.80002,0.35261,0.99926,0.97189,0.94717,0.9786,0.62936,1.31562,0.51721,1.3163,0.000161429,0.000161429,0.000161429
67,2453.85,0.7815,0.34637,0.99842,0.9665,0.92466,0.96944,0.62167,1.33163,0.51594,1.32334,0.000133143,0.000133143,0.000133143
68,2483.47,0.77057,0.34872,0.99139,0.96841,0.93836,0.97218,0.61941,1.34031,0.5075,1.33296,0.000104857,0.000104857,0.000104857
69,2513.24,0.77254,0.33817,0.99763,0.97866,0.94222,0.97483,0.62608,1.32782,0.49744,1.32287,7.65714e-05,7.65714e-05,7.65714e-05
70,2542.96,0.75991,0.33459,0.9889,0.97811,0.94521,0.97202,0.62748,1.33113,0.49865,1.31877,4.82857e-05,4.82857e-05,4.82857e-05
