epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.67093,2.11811,0.32,0.81333,1.90508,0.000255064,0.000255064,0.000255064
2,13.3597,1.76869,0.57333,0.92,1.42744,0.000501272,0.000501272,0.000501272
3,18.4726,1.36751,0.68,0.96,1.10518,0.000737329,0.000737329,0.000737329
4,23.5332,0.99931,0.77333,1,0.60294,0.000723321,0.000723321,0.000723321
5,28.6016,0.72203,0.77333,1,0.57971,0.000708095,0.000708095,0.000708095
6,33.8683,0.51225,0.8,1,0.63586,0.000692869,0.000692869,0.000692869
7,38.9504,0.40185,0.85333,1,0.33288,0.000677643,0.000677643,0.000677643
8,43.8833,0.35837,0.86667,1,0.33668,0.000662417,0.000662417,0.000662417
9,48.7763,0.32838,0.84,1,0.50425,0.00064719,0.00064719,0.00064719
10,53.6988,0.32647,0.85333,1,0.32833,0.000631964,0.000631964,0.000631964
11,58.584,0.24216,0.88,0.98667,0.32711,0.000616738,0.000616738,0.000616738
12,63.6689,0.26036,0.92,0.98667,0.26997,0.000601512,0.000601512,0.000601512
13,68.6079,0.21854,0.89333,1,0.24292,0.000586286,0.000586286,0.000586286
14,73.5233,0.19096,0.90667,0.98667,0.22808,0.000571059,0.000571059,0.000571059
15,78.5829,0.20166,0.92,0.98667,0.28476,0.000555833,0.000555833,0.000555833
16,83.5222,0.18095,0.94667,1,0.23692,0.000540607,0.000540607,0.000540607
17,88.4221,0.14585,0.90667,1,0.19319,0.000525381,0.000525381,0.000525381
18,93.4882,0.17545,0.94667,0.98667,0.18939,0.000510155,0.000510155,0.000510155
19,98.3635,0.14963,0.96,1,0.21994,0.000494928,0.000494928,0.000494928
20,103.239,0.14568,0.92,0.98667,0.27032,0.000479702,0.000479702,0.000479702
21,108.2,0.11078,0.90667,1,0.2185,0.000464476,0.000464476,0.000464476
22,113.05,0.12117,0.94667,1,0.13945,0.00044925,0.00044925,0.00044925
23,117.957,0.09516,0.93333,1,0.1167,0.000434024,0.000434024,0.000434024
24,123.044,0.11082,0.94667,1,0.14132,0.000418797,0.000418797,0.000418797
25,127.92,0.07829,0.93333,1,0.13648,0.000403571,0.000403571,0.000403571
26,132.872,0.0939,0.93333,1,0.1928,0.000388345,0.000388345,0.000388345
27,137.831,0.0929,0.93333,1,0.15742,0.000373119,0.000373119,0.000373119
28,142.72,0.09593,0.93333,1,0.20163,0.000357893,0.000357893,0.000357893
29,147.607,0.08328,0.93333,1,0.17338,0.000342666,0.000342666,0.000342666
30,152.712,0.07465,0.96,1,0.18874,0.00032744,0.00032744,0.00032744
31,157.717,0.07999,0.92,1,0.21674,0.000312214,0.000312214,0.000312214
32,162.634,0.0898,0.92,1,0.25469,0.000296988,0.000296988,0.000296988
33,167.496,0.09356,0.90667,1,0.28192,0.000281762,0.000281762,0.000281762
34,172.419,0.07631,0.93333,1,0.20597,0.000266535,0.000266535,0.000266535
35,177.324,0.06393,0.93333,0.98667,0.24499,0.000251309,0.000251309,0.000251309
36,182.357,0.06403,0.93333,0.98667,0.21463,0.000236083,0.000236083,0.000236083
37,187.242,0.06496,0.94667,1,0.16943,0.000220857,0.000220857,0.000220857
38,192.114,0.04501,0.96,1,0.12938,0.000205631,0.000205631,0.000205631
39,197.078,0.07999,0.96,1,0.18149,0.000190404,0.000190404,0.000190404
40,202.022,0.05771,0.96,1,0.22434,0.000175178,0.000175178,0.000175178
41,214.336,0.05294,0.96,1,0.17564,0.000159952,0.000159952,0.000159952
42,219.703,0.05741,0.94667,1,0.21328,0.000144726,0.000144726,0.000144726
43,225.43,0.06186,0.94667,1,0.17553,0.0001295,0.0001295,0.0001295
44,231.001,0.06079,0.93333,1,0.17534,0.000114273,0.000114273,0.000114273
45,236.258,0.04352,0.94667,1,0.16693,9.90472e-05,9.90472e-05,9.90472e-05
46,241.614,0.04015,0.94667,1,0.14049,8.3821e-05,8.3821e-05,8.3821e-05
47,246.824,0.04812,0.92,1,0.20144,6.85948e-05,6.85948e-05,6.85948e-05
48,252.061,0.05025,0.93333,1,0.13321,5.33686e-05,5.33686e-05,5.33686e-05
49,257.265,0.05944,0.93333,1,0.17197,3.81424e-05,3.81424e-05,3.81424e-05
50,262.497,0.04941,0.94667,1,0.17389,2.29162e-05,2.29162e-05,2.29162e-05
