epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.0846,2.76058,0.28652,0.66854,2.46159,0.000150392,0.000150392,0.000150392
2,20.6315,2.10897,0.50562,0.83146,1.66667,0.000296078,0.000296078,0.000296078
3,27.2009,1.31928,0.68539,0.91573,1.10392,0.000435758,0.000435758,0.000435758
4,33.7744,0.724,0.80899,0.95506,0.64579,0.000427973,0.000427973,0.000427973
5,40.4945,0.44808,0.82022,0.96067,0.61609,0.000418964,0.000418964,0.000418964
6,47.0837,0.34774,0.90449,0.98315,0.47241,0.000409955,0.000409955,0.000409955
7,53.4337,0.25335,0.89326,0.97191,0.408,0.000400946,0.000400946,0.000400946
8,59.115,0.22594,0.91573,0.99438,0.29515,0.000391937,0.000391937,0.000391937
9,64.7462,0.17368,0.89326,0.98315,0.32837,0.000382928,0.000382928,0.000382928
10,70.412,0.15501,0.89888,0.98876,0.32135,0.000373919,0.000373919,0.000373919
11,76.0421,0.13857,0.89326,0.98315,0.32924,0.00036491,0.00036491,0.00036491
12,81.6389,0.13871,0.89326,0.98315,0.32226,0.000355901,0.000355901,0.000355901
13,87.244,0.12784,0.91573,0.98315,0.29004,0.000346892,0.000346892,0.000346892
14,92.837,0.11149,0.92135,0.97753,0.26932,0.000337883,0.000337883,0.000337883
15,98.4099,0.10848,0.93258,0.98315,0.26027,0.000328874,0.000328874,0.000328874
16,104.063,0.09225,0.90449,0.98315,0.34015,0.000319865,0.000319865,0.000319865
17,109.684,0.11069,0.89888,0.98315,0.2914,0.000310856,0.000310856,0.000310856
18,115.328,0.08072,0.92135,0.98315,0.28592,0.000301847,0.000301847,0.000301847
19,120.944,0.09042,0.91573,0.97753,0.27694,0.000292838,0.000292838,0.000292838
20,126.511,0.07586,0.91573,0.98876,0.27265,0.000283829,0.000283829,0.000283829
21,132.298,0.07992,0.91573,0.97753,0.28345,0.00027482,0.00027482,0.00027482
22,138.005,0.06758,0.91573,0.98315,0.29814,0.000265811,0.000265811,0.000265811
23,143.85,0.06912,0.93258,0.98876,0.28106,0.000256802,0.000256802,0.000256802
24,149.964,0.06515,0.90449,0.98876,0.27621,0.000247793,0.000247793,0.000247793
25,155.633,0.08555,0.91573,0.99438,0.23845,0.000238784,0.000238784,0.000238784
26,161.357,0.0644,0.92697,0.99438,0.23862,0.000229775,0.000229775,0.000229775
27,167.011,0.06,0.9382,0.99438,0.23965,0.000220766,0.000220766,0.000220766
28,172.654,0.05624,0.93258,0.99438,0.28148,0.000211757,0.000211757,0.000211757
29,178.233,0.0494,0.92135,0.99438,0.32277,0.000202748,0.000202748,0.000202748
30,183.821,0.05638,0.91011,0.99438,0.27937,0.000193739,0.000193739,0.000193739
31,189.479,0.06361,0.93258,0.99438,0.2734,0.00018473,0.00018473,0.00018473
32,195.297,0.04875,0.93258,0.98876,0.23065,0.000175721,0.000175721,0.000175721
33,200.876,0.05386,0.92697,0.98876,0.24683,0.000166712,0.000166712,0.000166712
34,206.511,0.06264,0.92697,0.98876,0.2477,0.000157703,0.000157703,0.000157703
35,212.141,0.05541,0.9382,0.98876,0.23326,0.000148694,0.000148694,0.000148694
36,217.706,0.0469,0.92697,0.99438,0.22805,0.000139685,0.000139685,0.000139685
37,223.387,0.05034,0.93258,0.99438,0.2194,0.000130676,0.000130676,0.000130676
38,228.945,0.05219,0.92697,0.99438,0.22332,0.000121667,0.000121667,0.000121667
39,234.484,0.04824,0.9382,0.99438,0.19175,0.000112658,0.000112658,0.000112658
40,240.184,0.04069,0.93258,0.99438,0.20624,0.000103649,0.000103649,0.000103649
41,289.082,0.04163,0.93258,0.99438,0.20114,9.464e-05,9.464e-05,9.464e-05
42,296.456,0.03295,0.92697,0.99438,0.25157,8.5631e-05,8.5631e-05,8.5631e-05
43,303.334,0.03919,0.9382,0.98876,0.20754,7.6622e-05,7.6622e-05,7.6622e-05
44,309.981,0.03768,0.92697,0.99438,0.22519,6.7613e-05,6.7613e-05,6.7613e-05
45,316.933,0.03934,0.93258,0.98876,0.21872,5.8604e-05,5.8604e-05,5.8604e-05
46,323.351,0.03963,0.93258,0.99438,0.21202,4.9595e-05,4.9595e-05,4.9595e-05
47,329.81,0.03294,0.92135,0.99438,0.28584,4.0586e-05,4.0586e-05,4.0586e-05
48,336.179,0.05208,0.92697,0.99438,0.2132,3.1577e-05,3.1577e-05,3.1577e-05
49,342.586,0.03946,0.93258,0.99438,0.22495,2.2568e-05,2.2568e-05,2.2568e-05
50,349.168,0.03642,0.9382,0.99438,0.22132,1.3559e-05,1.3559e-05,1.3559e-05
