epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2476,0.78728,1.43921,1.196,0.93084,0.85182,0.89366,0.68472,0.71573,1.46635,1.39267,0.000659341,0.000659341,0.000659341
2,41.0537,0.85095,1.12384,1.21318,0.91902,0.63291,0.79322,0.45633,1.35873,1.66234,2.10767,0.00129975,0.00129975,0.00129975
3,57.0777,0.86936,1.01551,1.22374,0.87335,0.69833,0.79942,0.63696,0.86221,1.78523,1.36823,0.00191376,0.00191376,0.00191376
4,75.3651,0.88741,0.91008,1.23246,0.89157,0.83266,0.88428,0.65321,0.96322,1.11126,1.56648,0.0018812,0.0018812,0.0018812
5,96.2698,0.83947,0.84283,1.19572,0.95759,0.85756,0.91827,0.75364,0.76716,0.76751,1.29154,0.0018416,0.0018416,0.0018416
6,116.413,0.83385,0.78484,1.18907,0.8767,0.83544,0.863,0.58075,1.17076,1.06279,1.86254,0.001802,0.001802,0.001802
7,133.356,0.81012,0.71734,1.17123,0.91896,0.86125,0.91005,0.7684,0.69905,0.67324,1.28024,0.0017624,0.0017624,0.0017624
8,150.134,0.7736,0.67145,1.15613,0.92299,0.91029,0.92877,0.73446,0.80608,0.66353,1.31326,0.0017228,0.0017228,0.0017228
9,166.743,0.76415,0.64576,1.15184,0.95127,0.88608,0.94354,0.78908,0.69342,0.58308,1.2755,0.0016832,0.0016832,0.0016832
10,183.396,0.72941,0.59333,1.1233,0.95756,0.89873,0.94205,0.79512,0.65851,0.55887,1.19639,0.0016436,0.0016436,0.0016436
11,200.12,0.73765,0.60418,1.13413,0.97325,0.89873,0.9435,0.79664,0.60324,0.57605,1.13857,0.001604,0.001604,0.001604
12,215.999,0.69292,0.5572,1.10933,0.94965,0.86076,0.91176,0.72951,0.79243,0.646,1.37607,0.0015644,0.0015644,0.0015644
13,231.689,0.688,0.54372,1.10931,0.935,0.91139,0.93248,0.79029,0.62506,0.55457,1.16416,0.0015248,0.0015248,0.0015248
14,247.552,0.67844,0.52722,1.10261,0.9579,0.86407,0.94409,0.80381,0.63608,0.55066,1.16086,0.0014852,0.0014852,0.0014852
15,263.726,0.68977,0.54371,1.10558,0.97345,0.91139,0.95147,0.82328,0.608,0.50138,1.16617,0.0014456,0.0014456,0.0014456
16,279.915,0.6935,0.54103,1.11112,0.91195,0.91139,0.93286,0.80869,0.58856,0.49015,1.11635,0.001406,0.001406,0.001406
17,297.745,0.65486,0.50978,1.07544,0.97365,0.93547,0.95304,0.84093,0.54771,0.47191,1.1238,0.0013664,0.0013664,0.0013664
18,316.517,0.65414,0.49962,1.08881,0.93022,0.92405,0.96042,0.8319,0.58149,0.42994,1.16724,0.0013268,0.0013268,0.0013268
19,334.304,0.66802,0.50491,1.09994,0.98609,0.89765,0.94599,0.81668,0.54671,0.43656,1.13639,0.0012872,0.0012872,0.0012872
